Ungu,Biru,Hijau,Kuning,Oranye,Merah,label
0,0.097132863,0.777557604,1,0.542789053,0.179302979,sehat
0,0.149931101,0.817760375,1,0.602308502,0.270215248,sehat
0,0.145822518,0.757340628,1,0.579476057,0.286385016,karies
0.068130286,0,0.722250652,1,0.534687227,0.186333178,karies
0,0.144332263,0.805063978,1,0.57880944,0.270390339,karies
0,0.077032627,0.757197706,1,0.48279383,0.139920307,karies
0,0.118201342,0.743896983,1,0.579990615,0.284186392,karies
0,0.180172767,0.761191179,1,0.560723211,0.295820717,karies
0,0.071239175,0.739996845,1,0.523417071,0.198903275,karies
0,0.060256043,0.728323112,1,0.576819502,0.270489017,karies
0,0.15406075,0.772414384,1,0.599881934,0.302406998,karies
0,0.089863308,0.764153561,1,0.472327243,0.134171229,karies
0,0.119323607,0.760802897,1,0.57561743,0.258185391,karies
0,0.158332991,0.809366957,1,0.550351763,0.226587858,karies
0,0.063206531,0.747138958,1,0.515037946,0.202447337,karies
0.06092583,0.300493685,0.583859436,1,0.028568682,0,karies
0.031414143,0.295459044,0.628068314,1,0.037727728,0,sehat
0,0.302314865,0.586041053,1,0.04151072,0.006568679,karies
0,0.235257592,0.581103176,1,0.133371994,0.102781456,karies
0.094363759,0.301406057,0.58966888,1,0.035213137,0,karies
0,0.303405364,0.605278454,1,0.10135245,0.079000569,karies
0,0.27057791,0.558323126,1,0.101133269,0.088324346,karies
0,0.298729271,0.623864233,1,0.067860861,0.026189745,sehat
0,0.249004046,0.566781421,1,0.107707205,0.082719784,sehat
0,0.278605674,0.597296419,1,0.075244883,0.035098715,karies
0,0.232821132,0.609189966,1,0.126771497,0.091350336,karies
0,0.277128339,0.562613537,1,0.045663698,0.014203161,karies
0,0.271117142,0.615884453,1,0.135427447,0.108619449,karies
0,0.293192533,0.64836137,1,0.147047604,0.111123865,karies
0,0.276617444,0.648642864,1,0.124938061,0.081850052,sehat
0,0.279097312,0.648169896,1,0.097248683,0.052215639,sehat
0,0.224775273,0.589581148,1,0.154952967,0.134934604,karies
0,0.303444048,0.62421993,1,0.112143256,0.077467977,sehat
0,0.300644195,0.647458802,1,0.117530873,0.071488395,karies
0,0.266482087,0.557737753,1,0.088971146,0.068763336,sehat
0,0.331261579,0.57825369,1,0.085212186,0.061599404,karies
0.345149642,0.391608391,0.512251845,1,0.019568426,0,karies
0,0.290156532,0.637290904,1,0.104014368,0.063686218,sehat
0,0.303272801,0.624207011,1,0.110534853,0.075605475,sehat
0,0.270282007,0.629861113,1,0.120984727,0.082049598,sehat
0,0.178028011,0.665286334,1,0.31103995,0.127857328,sehat
0,0.303199444,0.624201476,1,0.10984587,0.074807644,sehat
0,0.277260485,0.579840072,1,0.081915179,0.054533407,sehat
0,0.301895359,0.623807362,1,0.106838304,0.071948262,sehat
0,0.276752582,0.57879856,1,0.082247673,0.055203954,sehat
0,0.285157733,0.608284585,1,0.078736149,0.041618524,sehat
0,0.255310182,0.563518435,1,0.100947172,0.077684251,sehat
0,0.298597428,0.622928801,1,0.095541425,0.060194045,sehat
0,0.29205166,0.63542666,1,0.105173749,0.065651837,sehat
0,0.286156762,0.641225491,1,0.101567434,0.059537673,sehat
0,0.259743401,0.561224554,1,0.096194863,0.074144266,sehat
0,0.298257794,0.624392572,1,0.069077881,0.027376553,sehat
0,0.302707236,0.624164343,1,0.105222921,0.069454351,sehat
0,0.300052204,0.623964039,1,0.080286189,0.040578056,sehat
0,0.292724048,0.630593718,1,0.083362126,0.041306204,sehat
0,0.279324765,0.601588542,1,0.083410285,0.048249725,sehat
